universite_code;etablissement_code;domain_code;diplome_code;speciality;group;diplomes_M;diplomes_F;diplomes_total
13;1301;31;3;إدارة الأعمال;تصرف;16;58;74
13;1301;42;2;الأنظمة المحمولة والجوالة;إعلامية;3;0;3
13;1301;42;3;الأنظمة المحمولة والجوالة;إعلامية;9;3;12
13;1301;31;3;التصرف الصناعي;تصرف;3;14;17
13;1301;31;11;التصرف المندمج في الجودة و الصحة,و السلامة و المحيط;تصرف;1;15;16
13;1301;53;2;التصرف في الانتاج;هندسة صناعية والكترونيك وآلية;0;1;1
13;1301;31;2;التصرف في المؤسسات الصغرى و المتوسطة;تصرف;2;4;6
13;1301;42;3;الشبكات والخدمات الإعلامية;إعلامية;10;7;17
13;1301;82;2;الوجستيك والنقل الدولي;تصرف في النقل واللوجستيك;0;1;1
13;1301;82;3;الوجستيك والنقل الدولي;تصرف في النقل واللوجستيك;7;34;41
13;1301;42;2;تطوير أنظمة المعلومات;إعلامية;2;0;2
13;1301;42;3;تطوير أنظمة المعلومات;إعلامية;53;25;78
13;1302;31;3;إدارة الأعمال;تصرف;18;41;59
13;1302;53;3;الالية والاعلامية الصناعية;هندسة صناعية والكترونيك وآلية;7;4;11
13;1302;53;3;التصميم والتصنيع الميكانيكي;هندسة ميكانيكية;13;10;23
13;1302;42;3;الشبكات والخدمات الإعلامية;إعلامية;6;6;12
13;1302;31;3;المحاسبة والمالية;محاسبة;7;33;40
13;1302;53;3;تكنولوجيا الإعلامية:تطوير أنظمة المعلومات;تحضير تقني;3;2;5
13;1302;53;3;صيانة صناعية;هندسة ميكانيكية;7;2;9
13;1302;53;11;هندسة كهربائية;هندسة كهربائية;4;6;10
13;1302;53;3;هندسة كهربائية : كهرباء صناعية;هندسة كهربائية;6;3;9
13;1302;53;11;هندسة ميكانيكية;هندسة ميكانيكية;8;2;10
13;1302;53;11;هندسة ميكانيكية;هندسة ميكانيكية;5;3;8
13;1304;31;3;إدارة الأعمال;تصرف;0;18;18
13;1304;42;3;إعلامية صناعية;إعلامية;4;7;11
13;1304;42;3;الأنظمة المحمولة والجوالة;إعلامية;2;14;16
13;1304;53;3;التصميم والتصنيع الميكانيكي;هندسة ميكانيكية;23;0;23
13;1304;53;11;التصميم والتصنيع الميكانيكي;هندسة ميكانيكية;31;16;47
13;1304;53;3;التصنيع الميكانيكي;هندسة ميكانيكية;13;3;16
13;1304;42;3;الشبكات والخدمات الإعلامية;إعلامية;7;8;15
13;1304;31;3;تصرف في المؤسسات;تصرف;1;1;2
13;1304;31;3;تقنيات المحاسبة والمالية;محاسبة;3;19;22
13;1304;53;3;تكنولوجيا الإعلامية:تطوير أنظمة المعلومات;تحضير تقني;10;6;16
13;1304;53;3;هندسة كهربائية: الالكترونيك الصناعي;هندسة كهربائية;5;9;14
13;1304;53;3;هندسة ميكانيكية: التصنيع باستخدام الحاسب الألي;هندسة ميكانيكية;6;8;14
13;1304;53;3;هندسة ميكانيكية:الصيانة الصناعية;هندسة ميكانيكية;21;0;21
13;1306;53;3;التصميم والتصنيع الميكانيكي;هندسة ميكانيكية;16;9;25
13;1306;42;2;الشبكات والخدمات الإعلامية;إعلامية;1;0;1
