code_universite;code_etablissement;code_domaine;inscrits_f;inscrits_m;annee
3;312;71;37;1;2021
3;312;71;23;3;2021
3;312;71;31;0;2021
3;312;71;0;0;2021
3;312;71;32;3;2021
3;312;71;30;1;2021
3;312;71;30;0;2021
3;312;71;31;3;2021
3;312;71;36;0;2021
3;312;72;42;0;2021
3;312;71;26;4;2021
3;312;71;2;7;2021
3;312;71;17;5;2021
3;312;71;21;3;2021
3;312;71;33;1;2021
3;312;71;25;0;2021
3;312;71;31;2;2021
3;312;71;29;0;2021
3;312;71;27;2;2021
3;312;72;38;0;2021
3;312;71;24;6;2021
3;312;71;12;7;2021
3;312;71;33;4;2021
3;312;71;31;4;2021
3;312;71;7;2;2021
3;312;71;7;3;2021
3;312;71;23;3;2021
3;312;71;14;1;2021
3;312;71;15;0;2021
3;312;71;39;3;2021
3;312;71;22;1;2021
3;312;71;40;0;2021
3;312;71;24;3;2021
3;312;72;26;1;2021
3;312;71;33;6;2021
3;312;71;11;9;2021
3;312;71;18;1;2021
3;312;71;14;0;2021
3;312;71;16;1;2021
3;312;71;30;4;2021
3;312;71;23;7;2021
3;312;71;25;3;2021
3;311;52;29;26;2021
3;311;53;31;28;2021
3;311;53;9;6;2021
3;311;53;36;24;2021
3;311;53;18;32;2021
3;311;42;25;23;2021
3;311;53;11;10;2021
3;311;53;4;13;2021
3;311;53;24;22;2021
3;311;52;36;24;2021
3;311;53;29;28;2021
3;311;53;3;4;2021
3;311;53;25;31;2021
3;311;53;21;33;2021
3;311;42;22;24;2021
3;311;53;7;12;2021
3;311;53;11;14;2021
3;311;53;26;16;2021
3;311;52;26;33;2021
3;311;53;34;20;2021
3;311;53;7;5;2021
3;311;53;27;18;2021
3;311;53;19;30;2021
3;311;42;12;16;2021
3;311;53;7;10;2021
3;311;53;10;16;2021
3;311;53;17;14;2021
3;311;53;12;3;2021
3;311;52;6;3;2021
3;311;42;20;17;2021
3;311;31;7;1;2021
3;311;53;23;9;2021
3;311;41;12;7;2021
3;311;42;9;7;2021
3;311;53;3;7;2021
3;311;53;10;15;2021
3;311;53;8;8;2021
3;311;42;20;21;2021
3;311;53;14;4;2021
3;311;31;8;12;2021
3;311;52;2;0;2021
3;311;53;8;8;2021
3;311;53;4;0;2021
3;311;53;3;11;2021
3;311;41;2;7;2021
3;311;52;2;3;2021
3;311;53;3;5;2021
3;311;53;2;0;2021
3;311;53;2;7;2021
3;311;41;3;1;2021
3;311;53;7;1;2021
3;311;52;3;1;2021
3;311;53;7;6;2021
3;311;53;4;1;2021
3;311;53;2;1;2021
3;311;41;8;1;2021
3;311;53;9;0;2021
3;311;53;3;1;2021
3;311;53;3;1;2021
3;311;53;2;0;2021
3;311;53;1;2;2021
3;311;53;6;2;2021
3;311;53;2;0;2021
3;311;53;2;5;2021
3;311;41;1;1;2021
3;311;53;4;2;2021
3;311;41;6;0;2021
3;310;53;53;141;2021
3;310;53;70;159;2021
3;310;53;49;63;2021
3;310;53;73;95;2021
3;310;53;61;33;2021
3;310;53;77;28;2021
3;307;62;24;5;2021
3;307;62;55;9;2021
3;307;71;98;28;2021
3;307;71;65;10;2021
3;307;71;17;3;2021
3;307;71;16;4;2021
3;307;71;19;2;2021
3;307;71;22;1;2021
3;307;71;48;4;2021
3;307;71;22;1;2021
3;307;71;5;6;2021
3;307;71;7;3;2021
3;307;71;14;2;2021
3;307;71;12;2;2021
3;307;71;20;1;2021
3;307;71;44;1;2021
3;307;71;17;4;2021
3;307;71;15;5;2021
3;307;53;25;5;2021
3;307;71;6;0;2021
3;307;71;6;0;2021
3;307;44;6;0;2021
3;307;71;8;1;2021
3;307;53;11;3;2021
3;307;43;2;6;2021
3;307;43;1;4;2021
3;307;43;0;6;2021
3;307;43;0;2;2021
3;307;43;3;6;2021
3;307;71;22;1;2021
3;307;71;11;1;2021
3;307;71;12;0;2021
3;307;43;15;19;2021
3;307;43;14;6;2021
3;305;43;17;3;2021
3;305;43;21;0;2021
3;305;81;27;0;2021
3;305;81;28;4;2021
3;305;43;13;1;2021
3;305;43;9;0;2021
3;305;43;140;14;2021
3;305;81;112;14;2021
3;305;43;81;6;2021
3;305;81;57;5;2021
3;305;43;20;1;2021
3;305;81;18;7;2021
3;305;43;42;3;2021
3;305;43;20;1;2021
3;305;43;26;0;2021
3;306;22;89;6;2021
3;306;22;93;56;2021
3;306;22;98;9;2021
3;306;22;42;13;2021
3;306;22;17;0;2021
3;306;34;111;17;2021
3;306;34;84;15;2021
